data,forecast_ensemble,forecast_gru,forecast_lstm,forecast_gbrt,ic68_inf,ic68_sup,ic95_inf,ic95_sup
2039-02-01,341874.07627912186,336791.5651676722,344572.11223086395,344258.5514388294,222106.84807606612,461641.3044821776,107130.30900113269,576617.8435571111
2039-03-01,338817.300750024,333884.37218587345,341590.3305619598,340977.19950223883,219780.34631237443,457854.25518767355,105504.87005223086,572129.7314478171
2039-04-01,384046.3397756968,378357.1098351173,387083.5833583247,386698.32613364846,248734.07328410278,519358.60626729083,118834.29745217257,649258.382099221
2039-05-01,514717.5115181766,507184.5274539471,518877.2527435769,518090.7543570057,332850.9811704143,696584.0418659388,158259.11203656258,871175.9109997905
2039-06-01,456894.9293615492,449981.46765862365,460352.2429748032,460351.07745122066,295003.616969723,618786.2417533754,139587.95707356985,774201.9016495285
2039-07-01,352105.2154897747,346777.6842851582,354768.95041272667,354769.01177143934,226994.01888953935,477216.41209001007,106887.27015331341,597323.160826236
2039-08-01,347697.91079661896,342453.51196515246,350345.0621726862,350295.1582520183,223808.11473818857,471587.70685504936,104873.91052209541,590521.9110711425
2039-09-01,360887.4937810623,361233.98395409685,361363.3658029727,360065.13158611744,231941.3603324409,489833.6272296837,108153.07222176438,613621.9153403603
2039-10-01,351333.5894528278,351577.2260930707,351712.23897277965,350711.303292633,225454.79614016417,477212.38276549143,104611.15456000715,598056.0243456485
2039-11-01,352654.68865007715,352680.3678619255,352826.8233780352,352456.8747102707,225955.9149342107,479353.4623659436,104325.09216697895,600984.2851331753
2039-12-01,481466.08955202304,481612.21272355894,481827.7706905876,480958.28524192254,308017.0815727838,654915.0975312623,141506.0339127141,821426.145191332
2040-01-01,357685.55798941787,357789.51702619257,357958.91362681735,357308.24331524386,228479.02480450238,486892.09117433336,104440.75294698354,610930.3630318522
2040-02-01,379708.4714501761,379815.28515246697,380002.8102949537,379307.3189031077,242176.406724903,517240.5361754492,110145.6245886409,649271.3183117112
2040-03-01,376337.63201848697,376417.6155621455,376609.23574484634,375986.044748469,239660.56345645452,513014.70058051945,108450.5776369034,644224.6864000706
2040-04-01,426576.2978308001,426664.8722333078,426887.2470130665,426176.77424602606,271240.0359730707,581912.5596885296,122117.22458965037,731035.3710719498
2040-05-01,571740.2804486501,571836.1599103463,572139.6537380068,571245.0276975974,362990.0821198576,780490.4787774426,162589.8917242169,980890.6691730833
2040-06-01,507489.70692349784,507596.57014790096,507869.9458768145,507002.604745778,321708.7297032857,693270.6841437101,143358.99157188198,871620.4222751138
2040-07-01,391096.70651742886,391178.24647536216,391391.2720684057,390720.6010085188,247548.40882661974,534645.004208238,109742.04304344297,672451.3699914148
2040-08-01,386201.9592279082,386281.8642415654,386494.06631430564,385829.9471278537,244079.638232038,528324.2802237784,107642.21007600261,664761.7083798138
